movie_title,genres,plot_keywords,actor_1_name,actor_2_name,actor_3_name,director_name,combined_features
a single man,drama romance,car accident male full back nudity practicing a suicide public nudity suicide contemplation,colin firth,teddy sears,keri lynn pratt,tom ford,drama romance car accident male full back nudity practicing a suicide public nudity suicide contemplation colin firth teddy sears keri lynn pratt tom ford
the last temptation of christ,drama,carpenter exorcism faith reference to jesus christ temptation,irvin kershner,barbara hershey,roberts blossom,martin scorsese,drama carpenter exorcism faith reference to jesus christ temptation irvin kershner barbara hershey roberts blossom martin scorsese
outside providence,comedy drama romance,class cornwall connecticut dog friend pawtucket rhode island,jonathan brandis,george wendt,shawn hatosy,michael corrente,comedy drama romance class cornwall connecticut dog friend pawtucket rhode island jonathan brandis george wendt shawn hatosy michael corrente
bride & prejudice,comedy drama musical romance,bollywood india jane austen london england travel,indira varma,martin henderson,anupam kher,gurinder chadha,comedy drama musical romance bollywood india jane austen london england travel indira varma martin henderson anupam kher gurinder chadha
rabbit-proof fence,adventure biography drama history,aborigine based on true story colonialism fence half caste,roy billing,david gulpilil,deborah mailman,phillip noyce,adventure biography drama history aborigine based on true story colonialism fence half caste roy billing david gulpilil deborah mailman phillip noyce
who's your caddy?,comedy sport,2000s golf caddy golf course golfer question mark in title,jeffrey jones,faizon love,lil' wayne,don michael paul,comedy sport 2000s golf caddy golf course golfer question mark in title jeffrey jones faizon love lil' wayne don michael paul
split second,action crime horror sci-fi thriller,appearing from water breasts creature partner water,michael j. pollard,alun armstrong,alastair duncan,tony maylam,action crime horror sci-fi thriller appearing from water breasts creature partner water michael j. pollard alun armstrong alastair duncan tony maylam
nikita,action crime drama thriller,assassin death female protagonist rogue training,melinda clarke,xander berkeley,aaron stanford,,action crime drama thriller assassin death female protagonist rogue training melinda clarke xander berkeley aaron stanford 
the other side of heaven,adventure biography drama,1950s idaho love missionary mormon,anne hathaway,nathaniel lees,miriama smith,mitch davis,adventure biography drama 1950s idaho love missionary mormon anne hathaway nathaniel lees miriama smith mitch davis
dark angel,action drama mystery sci-fi,cat burglar female lead future mixed martial arts post apocalypse,jensen ackles,ashley scott,john savage,,action drama mystery sci-fi cat burglar female lead future mixed martial arts post apocalypse jensen ackles ashley scott john savage 
veer-zaara,drama musical romance,fair pakistan prison rescue stranded,shah rukh khan,preity zinta,anupam kher,yash chopra,drama musical romance fair pakistan prison rescue stranded shah rukh khan preity zinta anupam kher yash chopra
redbelt,drama sport,bar debt fight instructor jujitsu,alice braga,randy couture,jose pablo cantillo,david mamet,drama sport bar debt fight instructor jujitsu alice braga randy couture jose pablo cantillo david mamet
cyrus,comedy drama romance,21 year old forename as title musician party rearview mirror,matt walsh,tim guinee,katie aselton,jay duplass,comedy drama romance 21 year old forename as title musician party rearview mirror matt walsh tim guinee katie aselton jay duplass
a dog of flanders,drama family,artist box office flop dog drawing flanders,bruce mcgill,cheryl ladd,jack warden,kevin brodie,drama family artist box office flop dog drawing flanders bruce mcgill cheryl ladd jack warden kevin brodie
auto focus,biography crime drama,friendship photography radio sex addict video,ed begley jr.,michael mckean,kurt fuller,paul schrader,biography crime drama friendship photography radio sex addict video ed begley jr. michael mckean kurt fuller paul schrader
factory girl,biography drama,andy warhol female nudity public nudity singer socialite,hayden christensen,jimmy fallon,beth grant,george hickenlooper,biography drama andy warhol female nudity public nudity singer socialite hayden christensen jimmy fallon beth grant george hickenlooper
we need to talk about kevin,drama thriller,archery defiance mental illness psychopath toilet training,ezra miller,siobhan fallon hogan,ashley gerasimovich,lynne ramsay,drama thriller archery defiance mental illness psychopath toilet training ezra miller siobhan fallon hogan ashley gerasimovich lynne ramsay
the christmas candle,drama family,angel candle christmas miracle village,samantha barks,hans matheson,lesley manville,john stephenson,drama family angel candle christmas miracle village samantha barks hans matheson lesley manville john stephenson
the mighty macs,drama sport,basketball catholic coach college nun,ellen burstyn,marley shelton,jennifer butler,tim chambers,drama sport basketball catholic coach college nun ellen burstyn marley shelton jennifer butler tim chambers
losin' it,comedy drama family,apostrophe in title bare breasts friendship between men teen sex comedy two word title,tom cruise,shelley long,rick rossovich,curtis hanson,comedy drama family apostrophe in title bare breasts friendship between men teen sex comedy two word title tom cruise shelley long rick rossovich curtis hanson
mother and child,drama romance,adoption baby girl lawyer sex,naomi watts,jimmy smits,carla gallo,rodrigo garcía,drama romance adoption baby girl lawyer sex naomi watts jimmy smits carla gallo rodrigo garcía
march or die,adventure drama romance war,arab bare chested male foreign legion french foreign legion morocco,catherine deneuve,terence hill,jack o'halloran,dick richards,adventure drama romance war arab bare chested male foreign legion french foreign legion morocco catherine deneuve terence hill jack o'halloran dick richards
les visiteurs,comedy fantasy sci-fi,distant past future time travel nobleman squire trapped in the past,christian clavier,isabelle nanty,valérie lemercier,jean-marie poiré,comedy fantasy sci-fi distant past future time travel nobleman squire trapped in the past christian clavier isabelle nanty valérie lemercier jean-marie poiré
somewhere,comedy drama,actor boredom luxury hotel party trip,nathalie fay,chris pontius,erin wasson,sofia coppola,comedy drama actor boredom luxury hotel party trip nathalie fay chris pontius erin wasson sofia coppola
i hope they serve beer in hell,comedy,bachelor party bare butt loud sex sex standing up topless female nudity,geoff stults,susie abromeit,derek wayne johnson,bob gosse,comedy bachelor party bare butt loud sex sex standing up topless female nudity geoff stults susie abromeit derek wayne johnson bob gosse
chairman of the board,comedy,box office flop company invention roommate surfer,taylor negron,raquel welch,larry miller,alex zamm,comedy box office flop company invention roommate surfer taylor negron raquel welch larry miller alex zamm
hesher,drama,bully car car accident fire vomiting,joseph gordon-levitt,natalie portman,rainn wilson,spencer susser,drama bully car car accident fire vomiting joseph gordon-levitt natalie portman rainn wilson spencer susser
dom hemingway,comedy crime drama,male frontal nudity male nudity male rear nudity nudity sex scene,richard e. grant,mark wingett,richard graham,richard shepard,comedy crime drama male frontal nudity male nudity male rear nudity nudity sex scene richard e. grant mark wingett richard graham richard shepard
gerry,adventure drama mystery,desert friend friendship minimal dialogue water,matt damon,casey affleck,,gus van sant,adventure drama mystery desert friend friendship minimal dialogue water matt damon casey affleck  gus van sant
the heart of me,drama romance,1930s car accident hospital marital rape painter,olivia williams,luke newberry,eleanor bron,thaddeus o'sullivan,drama romance 1930s car accident hospital marital rape painter olivia williams luke newberry eleanor bron thaddeus o'sullivan
freeheld,biography drama romance,cancer gay bar lesbian kiss partner public hearing,steve carell,josh charles,luke grimes,peter sollett,biography drama romance cancer gay bar lesbian kiss partner public hearing steve carell josh charles luke grimes peter sollett
the extra man,comedy,co worker escort magazine teacher writer,lynn cohen,marian seldes,dan hedaya,shari springer berman,comedy co worker escort magazine teacher writer lynn cohen marian seldes dan hedaya shari springer berman
hard to be a god,drama sci-fi,fictional war hanging male full frontal nudity medieval times nudity,leonid yarmolnik,yuriy tsurilo,valentin golubenko,aleksey german,drama sci-fi fictional war hanging male full frontal nudity medieval times nudity leonid yarmolnik yuriy tsurilo valentin golubenko aleksey german
ca$h,comedy crime thriller,cash financial problem heist land rover mortgage,chris hemsworth,mike starr,paul sanchez,stephen milburn anderson,comedy crime thriller cash financial problem heist land rover mortgage chris hemsworth mike starr paul sanchez stephen milburn anderson
wah-wah,drama,alcoholic alcoholic father stepmother swaziland unfaithful wife,emily watson,julie walters,miranda richardson,richard e. grant,drama alcoholic alcoholic father stepmother swaziland unfaithful wife emily watson julie walters miranda richardson richard e. grant
the boondock saints,action crime thriller,fbi fbi agent friend irish mafia,norman reedus,david della rocco,bob marley,troy duffy,action crime thriller fbi fbi agent friend irish mafia norman reedus david della rocco bob marley troy duffy
z storm,action crime,,michael wong,louis koo,stephen au,david lam,action crime  michael wong louis koo stephen au david lam
twixt,comedy fantasy horror mystery,ghost hotel murder stake what happened to epilogue,alden ehrenreich,bruce dern,joanne whalley,francis ford coppola,comedy fantasy horror mystery ghost hotel murder stake what happened to epilogue alden ehrenreich bruce dern joanne whalley francis ford coppola
snow queen,adventure animation family,3d,erin fitzgerald,wendee lee,ivan okhlobystin,vladlen barbe,adventure animation family 3d erin fitzgerald wendee lee ivan okhlobystin vladlen barbe
alpha and omega 4: the legend of the saw toothed cave,action adventure animation comedy drama family fantasy thriller,blindness cave spirit wolf wolf cub,debi derryberry,kate higgins,cindy robinson,richard rich,action adventure animation comedy drama family fantasy thriller blindness cave spirit wolf wolf cub debi derryberry kate higgins cindy robinson richard rich
pale rider,western,gold miner preacher prospector sheriff,clint eastwood,chris penn,sydney penny,clint eastwood,western gold miner preacher prospector sheriff clint eastwood chris penn sydney penny clint eastwood
stargate: the ark of truth,action adventure drama fantasy sci-fi,2000s evil god space opera stargate wormhole,ben browder,christopher judge,julian sands,robert c. cooper,action adventure drama fantasy sci-fi 2000s evil god space opera stargate wormhole ben browder christopher judge julian sands robert c. cooper
dazed and confused,comedy,football hazing high school last day of school pledge,milla jovovich,adam goldberg,cole hauser,richard linklater,comedy football hazing high school last day of school pledge milla jovovich adam goldberg cole hauser richard linklater
high school musical 2,comedy drama family music musical romance,2000s basketball country club lifeguard talent show,lucas grabeel,corbin bleu,olesya rulin,kenny ortega,comedy drama family music musical romance 2000s basketball country club lifeguard talent show lucas grabeel corbin bleu olesya rulin kenny ortega
two lovers and a bear,drama romance,,gordon pinsent,justin edward seale,john ralston,kim nguyen,drama romance  gordon pinsent justin edward seale john ralston kim nguyen
criminal activities,crime drama thriller,african american gangster falling to death in over one's head murder surveillance,rex baker,edi gathegi,travis aaron wade,jackie earle haley,crime drama thriller african american gangster falling to death in over one's head murder surveillance rex baker edi gathegi travis aaron wade jackie earle haley
aimee & jaguar,biography drama romance war,lesbian mother lesbian parent lesbian relationship lesbian romance lesbianism,heike makatsch,johanna wokalek,maria schrader,max färberböck,biography drama romance war lesbian mother lesbian parent lesbian relationship lesbian romance lesbianism heike makatsch johanna wokalek maria schrader max färberböck
the chumscrubber,comedy drama,chumscrubber death friend pills school,rory culkin,john heard,tim dekay,arie posin,comedy drama chumscrubber death friend pills school rory culkin john heard tim dekay arie posin
shade,crime thriller,bar strip club stripper texas hold 'em thong,glenn plummer,jason cerbone,mark de alessandro,damian nieman,crime thriller bar strip club stripper texas hold 'em thong glenn plummer jason cerbone mark de alessandro damian nieman
house at the end of the street,drama horror thriller,brother sister relationship death of sister female protagonist mother daughter relationship murder,jennifer lawrence,nolan gerard funk,gil bellows,mark tonderai,drama horror thriller brother sister relationship death of sister female protagonist mother daughter relationship murder jennifer lawrence nolan gerard funk gil bellows mark tonderai
incendies,drama mystery war,brother sister relationship family relationships middle east mother son relationship twin brother and sister,lubna azabal,mélissa désormeaux-poulin,ahmad massad,denis villeneuve,drama mystery war brother sister relationship family relationships middle east mother son relationship twin brother and sister lubna azabal mélissa désormeaux-poulin ahmad massad denis villeneuve
"remember me, my love",comedy drama romance,box office hit dancer sex scene television underage sex,laura morante,silvio muccino,giulia michelini,gabriele muccino,comedy drama romance box office hit dancer sex scene television underage sex laura morante silvio muccino giulia michelini gabriele muccino
perrier's bounty,action comedy crime drama romance thriller,burglary estranged father money neighbor thug,jim broadbent,brendan coyle,michael mcelhatton,ian fitzgibbon,action comedy crime drama romance thriller burglary estranged father money neighbor thug jim broadbent brendan coyle michael mcelhatton ian fitzgibbon
elite squad,action crime drama thriller,brazil military police police rio de janeiro brazil slum,wagner moura,fernanda machado,andré ramiro,josé padilha,action crime drama thriller brazil military police police rio de janeiro brazil slum wagner moura fernanda machado andré ramiro josé padilha
annabelle,horror mystery,horror movie prequel murder paranormal activity self sacrifice suicide,alfre woodard,annabelle wallis,gabriel bateman,john r. leonetti,horror mystery horror movie prequel murder paranormal activity self sacrifice suicide alfre woodard annabelle wallis gabriel bateman john r. leonetti
bran nue dae,comedy drama musical,australia journey love priest traveling,deborah mailman,magda szubanski,jessica mauboy,rachel perkins,comedy drama musical australia journey love priest traveling deborah mailman magda szubanski jessica mauboy rachel perkins
boyz n the hood,crime drama,drugs escape football friend violence,john cothran,lloyd avery ii,na'blonka durden,john singleton,crime drama drugs escape football friend violence john cothran lloyd avery ii na'blonka durden john singleton
la bamba,biography drama music,crash hispanic interracial relationship interracial romance racism,esai morales,rosanna desoto,danielle von zerneck,luis valdez,biography drama music crash hispanic interracial relationship interracial romance racism esai morales rosanna desoto danielle von zerneck luis valdez
the four seasons,comedy drama,directed by star friendship reference to isaac newton skinny dipping written and directed by cast member,rita moreno,len cariou,sandy dennis,alan alda,comedy drama directed by star friendship reference to isaac newton skinny dipping written and directed by cast member rita moreno len cariou sandy dennis alan alda
dressed to kill,mystery romance thriller,apartment elevator murder psychiatrist sunglasses,angie dickinson,david margulies,nancy allen,brian de palma,mystery romance thriller apartment elevator murder psychiatrist sunglasses angie dickinson david margulies nancy allen brian de palma
the adventures of huck finn,adventure comedy drama family,boy lesson mississippi river river slave,curtis armstrong,frances conroy,anne heche,stephen sommers,adventure comedy drama family boy lesson mississippi river river slave curtis armstrong frances conroy anne heche stephen sommers
go,comedy crime,drug deal drugs sex sex on stairs strip club,sarah polley,jay mohr,scott wolf,doug liman,comedy crime drug deal drugs sex sex on stairs strip club sarah polley jay mohr scott wolf doug liman
friends with money,comedy drama romance,friend friendship marital problem money problems nervous breakdown,greg germann,marin hinkle,jake cherry,nicole holofcener,comedy drama romance friend friendship marital problem money problems nervous breakdown greg germann marin hinkle jake cherry nicole holofcener
the andromeda strain,sci-fi thriller,alien baby new mexico satellite scientist,david wayne,paula kelly,eric christmas,robert wise,sci-fi thriller alien baby new mexico satellite scientist david wayne paula kelly eric christmas robert wise
bats,horror sci-fi thriller,animal attack bat creature feature experiment mad scientist,leon,bob gunton,ned bellamy,louis morneau,horror sci-fi thriller animal attack bat creature feature experiment mad scientist leon bob gunton ned bellamy louis morneau
nowhere in africa,biography drama,breasts farm jew kenya tween girl,merab ninidze,juliane köhler,matthias habich,caroline link,biography drama breasts farm jew kenya tween girl merab ninidze juliane köhler matthias habich caroline link
shame,drama,female frontal nudity female nudity male nudity sex addict sex addiction,michael fassbender,nicole beharie,james badge dale,steve mcqueen,drama female frontal nudity female nudity male nudity sex addict sex addiction michael fassbender nicole beharie james badge dale steve mcqueen
layer cake,crime drama thriller,cake cocaine drugs pills serbian,tom hardy,sally hawkins,jamie foreman,matthew vaughn,crime drama thriller cake cocaine drugs pills serbian tom hardy sally hawkins jamie foreman matthew vaughn
the work and the glory ii: american zion,drama western,estrangement missouri mormon mormon church mormon temple,emily podleski,eric johnson,brenda strong,sterling van wagenen,drama western estrangement missouri mormon mormon church mormon temple emily podleski eric johnson brenda strong sterling van wagenen
the east,drama thriller,anarchist corporation greedy institution vomiting watching television,alexander skarsgård,julia ormond,jason ritter,zal batmanglij,drama thriller anarchist corporation greedy institution vomiting watching television alexander skarsgård julia ormond jason ritter zal batmanglij
a home at the end of the world,drama romance,hand job hugging long hair new york city two men one woman,robin wright,matt frewer,sissy spacek,michael mayer,drama romance hand job hugging long hair new york city two men one woman robin wright matt frewer sissy spacek michael mayer
aberdeen,drama,death ferry lawyer norway vomiting,charlotte rampling,sara-marie maltha,stellan skarsgård,hans petter moland,drama death ferry lawyer norway vomiting charlotte rampling sara-marie maltha stellan skarsgård hans petter moland
the messenger,drama romance war,captain casualty notification casualty notification team sergeant staff sergeant,steve buscemi,yaya dacosta,eamonn walker,oren moverman,drama romance war captain casualty notification casualty notification team sergeant staff sergeant steve buscemi yaya dacosta eamonn walker oren moverman
tracker,action adventure drama western,one word title,ray winstone,jed brophy,temuera morrison,ian sharp,action adventure drama western one word title ray winstone jed brophy temuera morrison ian sharp
control,biography drama music,band employment agency singer stage fright suicide,sam riley,samantha morton,alexandra maria lara,anton corbijn,biography drama music band employment agency singer stage fright suicide sam riley samantha morton alexandra maria lara anton corbijn
the terminator,action sci-fi,cyborg future war robot shootout in a police station urban setting,michael biehn,brian thompson,paul winfield,james cameron,action sci-fi cyborg future war robot shootout in a police station urban setting michael biehn brian thompson paul winfield james cameron
good bye lenin!,drama romance,coma east germany german democratic republic germany heart attack,florian lukas,chulpan khamatova,burghart klaußner,wolfgang becker,drama romance coma east germany german democratic republic germany heart attack florian lukas chulpan khamatova burghart klaußner wolfgang becker
the damned united,biography drama sport,cup derby county flashback football leeds united,stephen graham,mark bazeley,maurice roëves,tom hooper,biography drama sport cup derby county flashback football leeds united stephen graham mark bazeley maurice roëves tom hooper
the return of the living dead,comedy horror sci-fi,crematorium female frontal nudity naked dead woman paramedic poison gas,linnea quigley,clu gulager,beverly randolph,dan o'bannon,comedy horror sci-fi crematorium female frontal nudity naked dead woman paramedic poison gas linnea quigley clu gulager beverly randolph dan o'bannon
gomorrah,crime drama thriller,,maria pia calzone,fortunato cerlino,marco d'amore,,crime drama thriller  maria pia calzone fortunato cerlino marco d'amore 
mallrats,comedy romance,comic ex girlfriend jay and silent bob mall teenager,ethan suplee,jason mewes,joey lauren adams,kevin smith,comedy romance comic ex girlfriend jay and silent bob mall teenager ethan suplee jason mewes joey lauren adams kevin smith
grease,musical romance,automobile racing boyfriend girlfriend relationship high school wrestling year 1959,olivia newton-john,stockard channing,sid caesar,randal kleiser,musical romance automobile racing boyfriend girlfriend relationship high school wrestling year 1959 olivia newton-john stockard channing sid caesar randal kleiser
platoon,drama war,1960s famous score hero vietnam vietnam war,johnny depp,tom berenger,kevin dillon,oliver stone,drama war 1960s famous score hero vietnam vietnam war johnny depp tom berenger kevin dillon oliver stone
fahrenheit 9/11,documentary drama war,anti war interview iraq paranoia war on terrorism,osama bin laden,stevie wonder,ricky martin,michael moore,documentary drama war anti war interview iraq paranoia war on terrorism osama bin laden stevie wonder ricky martin michael moore
butch cassidy and the sundance kid,biography crime drama western,bolivia gang outlaw posse train,katharine ross,ted cassidy,kenneth mars,george roy hill,biography crime drama western bolivia gang outlaw posse train katharine ross ted cassidy kenneth mars george roy hill
mary poppins,comedy family fantasy musical,banker female protagonist live action and animation magic nanny,ed wynn,glynis johns,elsa lanchester,robert stevenson,comedy family fantasy musical banker female protagonist live action and animation magic nanny ed wynn glynis johns elsa lanchester robert stevenson
ordinary people,drama,choir death friend suicide therapy,adam baldwin,elizabeth mcgovern,judd hirsch,robert redford,drama choir death friend suicide therapy adam baldwin elizabeth mcgovern judd hirsch robert redford
around the world in 80 days,action adventure comedy,19th century around the world inventor martial arts train,jim broadbent,steve coogan,cécile de france,frank coraci,action adventure comedy 19th century around the world inventor martial arts train jim broadbent steve coogan cécile de france frank coraci
west side story,crime drama musical romance thriller,dance gang new york city puerto rican tragedy,rita moreno,george chakiris,richard beymer,jerome robbins,crime drama musical romance thriller dance gang new york city puerto rican tragedy rita moreno george chakiris richard beymer jerome robbins
caddyshack,comedy sport,caddy country club golf course gopher nudity,bill murray,rodney dangerfield,brian doyle-murray,harold ramis,comedy sport caddy country club golf course gopher nudity bill murray rodney dangerfield brian doyle-murray harold ramis
the brothers,comedy drama,african american commitment friend friendship playboy,julie benz,tatyana ali,jenifer lewis,gary hardwick,comedy drama african american commitment friend friendship playboy julie benz tatyana ali jenifer lewis gary hardwick
the wood,comedy drama romance,flashback friendship public nudity shower wedding,omar epps,tamala jones,richard t. jones,rick famuyiwa,comedy drama romance flashback friendship public nudity shower wedding omar epps tamala jones richard t. jones rick famuyiwa
the usual suspects,crime drama mystery thriller,criminal dirty cop flashback limping suspect,kevin spacey,chazz palminteri,kevin pollak,bryan singer,crime drama mystery thriller criminal dirty cop flashback limping suspect kevin spacey chazz palminteri kevin pollak bryan singer
a nightmare on elm street 5: the dream child,fantasy horror romance thriller,child comic book dream murderer nightmare,lisa wilcox,kelly jo minter,matthew borlenghi,stephen hopkins,fantasy horror romance thriller child comic book dream murderer nightmare lisa wilcox kelly jo minter matthew borlenghi stephen hopkins
van wilder: party liaison,comedy romance,college love party reporter tuition,ryan reynolds,curtis armstrong,erik estrada,walt becker,comedy romance college love party reporter tuition ryan reynolds curtis armstrong erik estrada walt becker
the wrestler,drama sport,heart attack stripper supermarket wrestler wrestling,mark margolis,john d'leo,ajay naidu,darren aronofsky,drama sport heart attack stripper supermarket wrestler wrestling mark margolis john d'leo ajay naidu darren aronofsky
duel in the sun,drama romance western,box office hit half breed infidelity shooting texas,joseph cotten,lillian gish,jennifer jones,king vidor,drama romance western box office hit half breed infidelity shooting texas joseph cotten lillian gish jennifer jones king vidor
best in show,comedy,dog show gay gay character gay couple gay interest,john michael higgins,catherine o'hara,michael mckean,christopher guest,comedy dog show gay gay character gay couple gay interest john michael higgins catherine o'hara michael mckean christopher guest
escape from new york,action sci-fi,1990s police prison rescue year 1997,donald pleasence,adrienne barbeau,tom atkins,john carpenter,action sci-fi 1990s police prison rescue year 1997 donald pleasence adrienne barbeau tom atkins john carpenter
school daze,comedy drama musical,beauty salon black college college fraternity sorority,tisha campbell-martin,ossie davis,bill nunn,spike lee,comedy drama musical beauty salon black college college fraternity sorority tisha campbell-martin ossie davis bill nunn spike lee
daddy day camp,comedy family,competition estranged father skunk summer camp wall,lochlyn munro,brian doyle-murray,tamala jones,fred savage,comedy family competition estranged father skunk summer camp wall lochlyn munro brian doyle-murray tamala jones fred savage
mr. nice guy,action comedy crime,chef cook drugs gang reporter,sammo kam-bo hung,richard norton,rachel blakely,sammo kam-bo hung,action comedy crime chef cook drugs gang reporter sammo kam-bo hung richard norton rachel blakely sammo kam-bo hung
a mighty wind,comedy music,concert mockumentary musician new york city singer,michael mckean,christopher guest,laura harris,christopher guest,comedy music concert mockumentary musician new york city singer michael mckean christopher guest laura harris christopher guest
mystic pizza,comedy drama romance,commitment marriage pizza title appears in writing woman wearing only a man's shirt,julia roberts,lili taylor,conchata ferrell,donald petrie,comedy drama romance commitment marriage pizza title appears in writing woman wearing only a man's shirt julia roberts lili taylor conchata ferrell donald petrie
war & peace,drama history romance war,male frontal nudity male nudity tv mini series,jim broadbent,tuppence middleton,lily james,,drama history romance war male frontal nudity male nudity tv mini series jim broadbent tuppence middleton lily james 
sliding doors,comedy drama fantasy romance,alternative reality multiple outcomes parallel time serendipity twist of fate,jeanne tripplehorn,kevin mcnally,john lynch,peter howitt,comedy drama fantasy romance alternative reality multiple outcomes parallel time serendipity twist of fate jeanne tripplehorn kevin mcnally john lynch peter howitt
tales from the hood,comedy horror thriller,child abuse death drugs ku klux klan police brutality,corbin bernsen,clarence williams iii,david alan grier,rusty cundieff,comedy horror thriller child abuse death drugs ku klux klan police brutality corbin bernsen clarence williams iii david alan grier rusty cundieff
the last king of scotland,biography drama history thriller,1970s assassination doctor scottish ugandan,david oyelowo,simon mcburney,abby mukiibi nkaaga,kevin macdonald,biography drama history thriller 1970s assassination doctor scottish ugandan david oyelowo simon mcburney abby mukiibi nkaaga kevin macdonald
halloween 5,horror thriller,cat halloween kitten michael myers psychotronic,donald pleasence,tamara glynn,troy evans,dominique othenin-girard,horror thriller cat halloween kitten michael myers psychotronic donald pleasence tamara glynn troy evans dominique othenin-girard
bernie,comedy crime drama,funeral stockbroker texas vacation widow,matthew mcconaughey,brandon smith,rick dial,richard linklater,comedy crime drama funeral stockbroker texas vacation widow matthew mcconaughey brandon smith rick dial richard linklater
dolphins and whales 3d: tribes of the ocean,adventure documentary short,3d in title animal in title digit in title dolphin manatee,charlotte rampling,daryl hannah,,jean-jacques mantello,adventure documentary short 3d in title animal in title digit in title dolphin manatee charlotte rampling daryl hannah  jean-jacques mantello
pollock,biography drama,1940s artist drinking life magazine painter,john heard,bud cort,amy madigan,ed harris,biography drama 1940s artist drinking life magazine painter john heard bud cort amy madigan ed harris
200 cigarettes,comedy drama romance,bartender friend new year's eve party punk,janeane garofalo,dave chappelle,gaby hoffmann,risa bramon garcia,comedy drama romance bartender friend new year's eve party punk janeane garofalo dave chappelle gaby hoffmann risa bramon garcia
the words,drama mystery romance thriller,american in paris book love novel writer,j.k. simmons,bradley cooper,olivia wilde,brian klugman,drama mystery romance thriller american in paris book love novel writer j.k. simmons bradley cooper olivia wilde brian klugman
casa de mi padre,comedy western,absurd humor drug lord mexico ranch spaghetti western,will ferrell,adrian martinez,luis e. carazo,matt piedmont,comedy western absurd humor drug lord mexico ranch spaghetti western will ferrell adrian martinez luis e. carazo matt piedmont
city island,comedy drama,anger family reunion father son reunion hugging movie making,ezra miller,curtiss cook,dominik garcía-lorido,raymond de felitta,comedy drama anger family reunion father son reunion hugging movie making ezra miller curtiss cook dominik garcía-lorido raymond de felitta
the guard,comedy crime thriller,boat on fire drug smuggling fbi fbi agent small town,don cheadle,fionnula flanagan,wale ojo,john michael mcdonagh,comedy crime thriller boat on fire drug smuggling fbi fbi agent small town don cheadle fionnula flanagan wale ojo john michael mcdonagh
college,comedy,college face slap high school loss of virginity pierced nipple,drake bell,alona tal,haley bennett,deb hagan,comedy college face slap high school loss of virginity pierced nipple drake bell alona tal haley bennett deb hagan
the virgin suicides,drama romance,catholic five sisters isolation school suicide,kirsten dunst,kathleen turner,scott glenn,sofia coppola,drama romance catholic five sisters isolation school suicide kirsten dunst kathleen turner scott glenn sofia coppola
little voice,comedy drama music romance,mother recluse shy singer talent,jim broadbent,annette badland,brenda blethyn,mark herman,comedy drama music romance mother recluse shy singer talent jim broadbent annette badland brenda blethyn mark herman
miss march,comedy romance,fellatio hugh hefner oral sex playboy centerfold topless female nudity,hugh m. hefner,windell middlebrooks,raquel alessi,zach cregger,comedy romance fellatio hugh hefner oral sex playboy centerfold topless female nudity hugh m. hefner windell middlebrooks raquel alessi zach cregger
wish i was here,comedy drama,actor dream sequence genius recluse jew religion,jim parsons,josh gad,michael weston,zach braff,comedy drama actor dream sequence genius recluse jew religion jim parsons josh gad michael weston zach braff
simply irresistible,comedy drama fantasy romance,chef female chef love magic restaurant,sarah michelle gellar,dylan baker,lawrence gilliard jr.,mark tarlov,comedy drama fantasy romance chef female chef love magic restaurant sarah michelle gellar dylan baker lawrence gilliard jr. mark tarlov
veronica mars,crime drama mystery,best friend high school private detective sheriff student,francis capra,jason dohring,enrico colantoni,,crime drama mystery best friend high school private detective sheriff student francis capra jason dohring enrico colantoni 
hedwig and the angry inch,comedy drama music musical,band rock band sex change song transsexual,john cameron mitchell,miriam shor,andrea martin,john cameron mitchell,comedy drama music musical band rock band sex change song transsexual john cameron mitchell miriam shor andrea martin john cameron mitchell
only the strong,action drama,capoeira fight fighting martial arts violence,antoni corone,ryan bollman,todd susman,sheldon lettich,action drama capoeira fight fighting martial arts violence antoni corone ryan bollman todd susman sheldon lettich
goddess of love,drama horror mystery thriller,female nudity hallucination sex scene strip club stripper,rachel alig,monda scott,alexis kendra,jon knautz,drama horror mystery thriller female nudity hallucination sex scene strip club stripper rachel alig monda scott alexis kendra jon knautz
shattered glass,drama history,fabricated facts journalist stephen glass the new republic writer,hayden christensen,rosario dawson,cas anvar,billy ray,drama history fabricated facts journalist stephen glass the new republic writer hayden christensen rosario dawson cas anvar billy ray
novocaine,comedy crime drama thriller,dentist drugs murder sex sunflower,chelcie ross,lynne thigpen,polly noonan,david atkins,comedy crime drama thriller dentist drugs murder sex sunflower chelcie ross lynne thigpen polly noonan david atkins
the business of strangers,drama thriller,airport businesswoman hotel revenge vegetarian,stockard channing,tony devon,frederick weller,patrick stettner,drama thriller airport businesswoman hotel revenge vegetarian stockard channing tony devon frederick weller patrick stettner
the wild bunch,action adventure western,friendship honor righteous rage soldier texas,william holden,warren oates,l.q. jones,sam peckinpah,action adventure western friendship honor righteous rage soldier texas william holden warren oates l.q. jones sam peckinpah
the wackness,comedy drama romance,ice cream marijuana new york city summer therapy,mary-kate olsen,aaron yoo,method man,jonathan levine,comedy drama romance ice cream marijuana new york city summer therapy mary-kate olsen aaron yoo method man jonathan levine
the great train robbery,adventure crime drama thriller,bank gold key safe train,lesley-anne down,michael elphick,pamela salem,michael crichton,adventure crime drama thriller bank gold key safe train lesley-anne down michael elphick pamela salem michael crichton
